Product Name,Brand Name,Price,Rating,Reviews,Review Votes,predict_rating
Life Pure Mini Quad Band Unlocked (White),BLU,120.0,4,the phone in general is very nice. the Only con that I see at this point is the battery. The battery seems to drain very fast. Otherwise this is a very nice quality phone.,0.0,2
BLU Tank II T193 Unlocked GSM Dual-SIM Cell Phone w/ Camera and 1900 mAh Big Battery - Unlocked Cell Phones - Retail Packaging - Black Red,BLU,20.99,5,"It's a decent phone, wasn't expecting much but it does everything claimed. Only complaint is that it doesn't have T9 texting.",0.0,4
Apple iPhone 5C 16GB GSM Unlocked 4G LTE Smartphone w/ 8MP Camera - Green,,149.99,4,Great phone... In great condition no issues... Phone's awesome,0.0,4
Samsung Galaxy S6 G920F 32GB Factory Unlocked GSM 4G LTE Octa-Core Smartphone - Blue Topaz,Samsung,529.0,5,Great!!!,0.0,4
"LG Extravert 2, Verizon (Blue) - Retail Packaging",LG,64.9,5,"Ordered for a friend of mine who didn't want to use a plan with data charges, all he wanted was talk and text. He's very pleased with the phone, especially the slider keyboard.",16.0,4
"BlackBerry 8520OEMRED Gemini 8520 Unlocked Phone with 2 MP Camera, Bluetooth, Wi-Fi--International Version (Red)",BlackBerry,39.99,1,"I bought 2 Black Berry 8520 and received one of them broken. So, since there is no warranty for being an international version, I have the most expensive Black Berry 8520 ever known. No one is responsible.",1.0,0
Samsung Galaxy S6 Edge Plus G928C 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - Gold Platinum,Samsung,459.99,5,The oboy not so good was the alphabet that did not have all languages.,0.0,4
T-Mobile Prism Prepaid Android Phone (T-Mobile),T-Mobile,66.55,1,I order this phone Samsung prism and what I got was a phone the look like on but is was from china and the branch was huiawei WTF where that is from,0.0,4
"BLU Studio 5.0 S D570I Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.1 JB, 5.0-inch IPS High Resolution Display, and 8MP Camera (Black)",CT-Miami LLC,,3,"When I first considered buying this phone, I was skeptical.It seemed too good to be true, especially for the price.I read the reviews, and decided to take a chance.I am happy to say, I was not disappointed.First, I will start by listing the cons. Everyone wants to know them.CONSSCREEN: The phone's screen's pixels are inferior to many brands such as Apple or Samsung.The screen's resolution is 540 x 960, and the dpi is only 240.SYSTEM STORAGE: The space of this phone is horrifying, only 1.4gb of internal storage.RAM: 1gb (more like an actual 800mb) of RAM can get tedious, but I recommend using CleanMaster to periodically erase cache files and clear up RAM space. Or you can always do ""killall"" in options.Front Camera: The photo's taken by it are very dark, and for unknown reasons at that. Also, the front camera, in nice terms, sucks. It is not very good compared to the back camera, but supposedly still takes HD streaming for facetime. Supposedly. If anyone can comment about this, please do, as I do not facetime.LAG: Sometimes, and I am not sure why this happens, the phone lags. Whether it be in music or in mid-sentence typing, or playing a game, the phone freezes up, but then very quickly goes back to normal. I think that it is because of the CPU % that spikes up for unknown reasons. Keep in mind that CPU and RAM are two very different things. This gets aggravating at times, espeically when I listen to music, as the sound gets distorted for around a second, but then goes back to normal. It could happen in a short timespan, multiple times, though, as a warning to those who avidly listen to music, or use applications like I do.EDIT: I FOUND THAT THIS PHONE CAN ONLY CAPTURE EDGE. This is a great disappointment. T-TNow. For the Pros!PROSQUAD-CORE PROCESSOR: Like I mentioned before, there is a bit of system lag, but almost 95% of the time, the phone is VERY fast and good. It may have sounded like I pulled the trigger on this product when I was saying the cons, but mind you, I AM the devil's advocate.SCREEN: I love the screen size. 5 inches. It is big. It is clear. It is good. Even though I said that the pixels were inferior to bigger name brands, please keep in mind that this phone is only around $170. It is more clear than one would think.SIZE: Personally, I love the size. The whole phone is around maybe 6 inches length, from top to bottom. It is also very slim and sleek, just like the description. They weren't lying about that.BATTERY: It is not the best battery, but it certainly beats some trash out there I have seen. Supposedly, it lasts for 24 hours, but in extensive use of this phone, it lasts around 15 hours with continuous use. (Cellular reception, Wi-fi, some applications, e.x. Facebook, Messenger, Snapchat, and YouTube.)EVERYTHING ELSE: This phone is very good for the price. Even though there are more cons than the pros, it is because I can't think of many pros. This just means that everything else works like it is supposed to, and maybe even better. I will say that the speed on this thing rivals Samsung S4's, at certain times, and for a fraction of the price.OVERALL, this phone is worth it. If you want to get a new smartphone, and do not have the money to invest on an $800 new gadget, please consider buying this. You will (probably) not regret it.Many thanks for reading this! :)",0.0,4
Blu LIFE 8 Unlocked (Yellow),BLU,2000.0,5,Nice one!,0.0,4
